MOVIE_NUM,STIM_NUM,MOVIE_NAME,SCALE_FACTOR,OPEN_SCREEN,CLOSE_SCREEN,END_ISI
64,64,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity8tan_075_audVid.avi,,1472072630.8863,1472072631.4089,1472072632.4183
65,65,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity7rad_100_visOnly_noisy.avi,,1472072632.4191,1472072633.0085,1472072634.0178
66,66,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity8rad_050_visOnly.avi,,1472072634.0184,1472072634.5548,1472072635.564
67,67,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity7tan_050_audVid.avi,,1472072635.5647,1472072636.1408,1472072637.15
68,68,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity8rad_050_audOnly.avi,,1472072637.1506,1472072637.6733,1472072638.6828
69,69,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity1tan_050_audVid.avi,,1472072638.6835,1472072639.2061,1472072640.2156
70,70,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity2rad_050_audVid.avi,,1472072640.2161,1472072640.7924,1472072641.8017
71,71,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity8tan_050_audVid.avi,,1472072641.8022,1472072642.3918,1472072643.4011
72,72,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity5rad_100_audVid.avi,,1472072643.4016,1472072643.9647,1472072644.9737
73,73,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity4tan_075_visOnly.avi,,1472072644.9743,1472072645.4842,1472072646.4938
74,74,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity7rad_100_audOnly_noisy.avi,,1472072646.4943,1472072647.0702,1472072648.0794
75,75,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity6tan_025_audOnly.avi,,1472072648.0799,1472072648.59,1472072649.5988
76,76,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity2rad_075_audOnly.avi,,1472072649.5995,1472072650.1229,1472072651.1312
77,77,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity2tan_025_audOnly.avi,,1472072651.1317,1472072651.656,1472072652.6641
78,78,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity5rad_100_audOnly_noisy.avi,,1472072652.6646,1472072653.1745,1472072654.1838
79,79,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity6rad_025_audVid.avi,,1472072654.1846,1472072654.7606,1472072655.7699
80,80,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/Average_visOnly_noisy.avi,,1472072655.7704,1472072656.2402,1472072657.2493
81,81,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity5rad_075_audVid.avi,,1472072657.2498,1472072657.7997,1472072658.8088
82,82,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity7rad_100_visOnly.avi,,1472072658.8095,1472072659.3322,1472072660.3416
83,83,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity5rad_100_audOnly.avi,,1472072660.3421,1472072660.8653,1472072661.8742
84,84,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity8rad_075_audOnly.avi,,1472072661.8748,1472072662.3981,1472072663.4072
85,85,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity5rad_050_audOnly.avi,,1472072663.4077,1472072663.9308,1472072664.94
86,86,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity5tan_050_audOnly.avi,,1472072664.9405,1472072665.5174,1472072666.526
87,87,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity2rad_025_audVid.avi,,1472072666.5277,1472072667.0762,1472072668.0855
88,88,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity1rad_100_visOnly_noisy.avi,,1472072668.086,1472072668.6227,1472072669.6316
89,89,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity5tan_025_audOnly.avi,,1472072669.6321,1472072670.1419,1472072671.1512
90,90,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity2rad_100_audOnly.avi,,1472072671.1517,1472072671.6742,1472072672.6838
91,91,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity6tan_075_visOnly.avi,,1472072672.6843,1472072673.2473,1472072674.2566
92,92,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity3rad_100_audVid.avi,,1472072674.2573,1472072674.8203,1472072675.8293
93,93,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/Average_audVid_noisy.avi,,1472072675.8301,1472072676.3128,1472072677.3221
94,94,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity6tan_050_audVid.avi,,1472072677.3228,1472072677.9123,1472072678.9215
95,95,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity4tan_025_audOnly.avi,,1472072678.9221,1472072679.4462,1472072680.4543
96,96,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity7tan_075_audOnly.avi,,1472072680.4548,1472072681.0313,1472072682.0414
97,97,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity5rad_050_visOnly.avi,,1472072682.0419,1472072682.5642,1472072683.5731
98,98,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity4tan_050_audOnly.avi,,1472072683.5736,1472072684.0837,1472072685.0926
99,99,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity1rad_100_visOnly.avi,,1472072685.0933,1472072685.6295,1472072686.6394
100,100,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity2rad_050_visOnly.avi,,1472072686.64,1472072687.1755,1472072688.1848
101,101,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity2tan_025_visOnly.avi,,1472072688.1857,1472072688.7096,1472072689.7176
102,102,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity6rad_100_visOnly_noisy.avi,,1472072689.7184,1472072690.3078,1472072691.317
103,103,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity5tan_050_visOnly.avi,,1472072691.3178,1472072691.8539,1472072692.8631
104,104,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity3rad_025_audVid.avi,,1472072692.8636,1472072693.4267,1472072694.4359
105,105,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity1rad_075_visOnly.avi,,1472072694.4378,1472072695.0128,1472072696.022
106,106,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity4rad_050_audOnly.avi,,1472072696.0226,1472072696.5323,1472072697.5416
107,107,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity4rad_075_audOnly.avi,,1472072697.5423,1472072698.0648,1472072699.0742
108,108,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity4rad_100_audVid.avi,,1472072699.0748,1472072699.5848,1472072700.5937
109,109,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity1tan_050_visOnly.avi,,1472072700.5943,1472072701.1709,1472072702.1798
110,110,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity3tan_050_audVid.avi,,1472072702.1806,1472072702.7835,1472072703.7925
111,111,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity3rad_100_visOnly_noisy.avi,,1472072703.7931,1472072704.3295,1472072705.3387
112,112,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity6tan_025_audVid.avi,,1472072705.3392,1472072705.9161,1472072706.9247
113,113,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity1rad_100_audVid.avi,,1472072706.9252,1472072707.4485,1472072708.4575
114,114,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity8rad_025_audOnly.avi,,1472072708.458,1472072709.021,1472072710.0312
115,115,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity4tan_050_visOnly.avi,,1472072710.0318,1472072710.6069,1472072711.6163
116,116,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity8rad_075_audVid.avi,,1472072711.6171,1472072712.1929,1472072713.2021
117,117,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity7rad_075_audOnly.avi,,1472072713.2026,1472072713.7796,1472072714.7886
118,118,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity8rad_100_audOnly.avi,,1472072714.7893,1472072715.2989,1472072716.308
119,119,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity4tan_075_audOnly.avi,,1472072716.3086,1472072716.8987,1472072717.9074
120,120,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity1tan_075_audOnly.avi,,1472072717.9081,1472072718.458,1472072719.4669
121,121,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity3tan_075_audOnly.avi,,1472072719.4674,1472072720.0437,1472072721.0529
122,122,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity1tan_075_visOnly.avi,,1472072721.0538,1472072721.6299,1472072722.639
123,123,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity3rad_050_audOnly.avi,,1472072722.6396,1472072723.2289,1472072724.2381
124,124,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity5rad_025_audVid.avi,,1472072724.2386,1472072724.8286,1472072725.8379
125,125,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity4rad_075_audVid.avi,,1472072725.8387,1472072726.4282,1472072727.4372
126,126,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity4rad_100_visOnly_noisy.avi,,1472072727.4378,1472072727.9612,1472072728.9701
127,127,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity2tan_025_audVid.avi,,1472072728.9706,1472072729.5601,1472072730.5695
128,128,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity7tan_050_audOnly.avi,,1472072730.57,1472072731.12,1472072732.129
129,129,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity1rad_075_audVid.avi,,1472072732.1295,1472072732.7057,1472072733.715
130,130,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity6rad_100_audOnly_noisy.avi,,1472072733.7155,1472072734.3055,1472072735.3144
131,131,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity3rad_075_audOnly.avi,,1472072735.315,1472072735.9048,1472072736.9139
132,132,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity7tan_025_audOnly.avi,,1472072736.9144,1472072737.4908,1472072738.5
133,133,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity1rad_100_audOnly.avi,,1472072738.5007,1472072739.0499,1472072740.0595
134,134,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity1rad_025_audOnly.avi,,1472072740.0601,1472072740.6099,1472072741.6188
135,135,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity3rad_100_visOnly.avi,,1472072741.6193,1472072742.142,1472072743.1513
136,136,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity1tan_025_audVid.avi,,1472072743.1518,1472072743.7283,1472072744.7378
137,137,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity7rad_050_visOnly.avi,,1472072744.7384,1472072745.3276,1472072746.3371
138,138,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity4tan_025_visOnly.avi,,1472072746.3379,1472072746.9275,1472072747.9364
139,139,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity4rad_100_audOnly_noisy.avi,,1472072747.937,1472072748.5131,1472072749.5227
